posx,posy,velx,vely,rot,lap,checkpoint,health,relposx,relposy,relvelx,relvely,relrot,enemyHealth,relCheckpointPosx,relCheckpointPosy,relCheckpointRot,gas,rotate,boost
200, 800, 0, 0, 0, 0, 0, 100, 100, 0, 0, 0, 90, 100, 317, -393, 141.11, 0, 0, 0
200, 800, 0, 0, 0, 0, 0, 100, 99.4755, -0.0105591, 0, -0.005802, 90.0061, 100, 317, -393, 141.11, 0, 0, 0
200, 800, 0, 0, 0, 0, 0, 100, 98.9503, -0.0361938, 8.88062e-05, -0.0114299, 90.021, 100, 317, -393, 141.11, 0, 0, 0
200, 800, 0, 0, 0, 0, 0, 100, 98.4248, -0.0765991, 0.000293356, -0.0169483, 90.0446, 100, 317, -393, 141.11, 0, 0, 0
200, 800, 0, 0, 0, 0, 0, 100, 97.8992, -0.131836, 0.000580576, -0.0222418, 90.0772, 100, 317, -393, 141.11, 0, 0, 0
200, 800, 0, 0, 0, 0, 0, 100, 97.3738, -0.20166, 0.000947986, -0.0273766, 90.1187, 100, 317, -393, 141.11, 0, 0, 0
200, 800, 0, 0, 0, 0, 0, 100, 96.8487, -0.288025, 0.00160039, -0.0342518, 90.1704, 100, 317, -393, 141.11, 0, 0, 0
200, 800, 0, 0, 0, 0, 0, 100, 96.3244, -0.390625, 0.00238124, -0.04098, 90.2324, 100, 317, -393, 141.11, 0, 0, 0
200, 800, 0, 0, 0, 0, 0, 100, 95.8011, -0.509399, 0.00328667, -0.0474471, 90.3046, 100, 317, -393, 141.11, 0, 0, 0
200, 800, 0, 0, 0, 0, 0, 100, 95.2791, -0.644104, 0.00428334, -0.0537202, 90.3873, 100, 317, -393, 141.11, 0, 0, 0
200, 800, 0, 0, 0, 0, 0, 100, 94.7588, -0.794556, 0.00536853, -0.059746, 90.4804, 100, 317, -393, 141.11, 0, 0, 0
200, 800, 0, 0, 0, 0, 0, 100, 94.2405, -0.962524, 0.00689479, -0.0674854, 90.5852, 100, 317, -393, 141.11, 0, 0, 0
200, 800, 0, 0, 0, 0, 0, 100, 93.7245, -1.14795, 0.00855288, -0.0749927, 90.7017, 100, 317, -393, 141.11, 0, 0, 0
